Temperature (C),Temperature (F),Stock 2 Wire,Aftermarket 2 Wire,Aftermarket 3 Wire
21,70,23600,,
22,72,23200,,
23,73,22900,21000,20600
24,75,22300,21300,20500
25,77,21600,21200,20300
26,79,20900,20900,19700
27,81,20200,20600,19400
28,82,19800,20100,19000
29,84,19500,19900,18500
30,86,19100,19600,18300
31,88,18800,19100,18000
32,90,18100,18600,17500
33,91,17500,18000,17100
34,93,16800,17700,16600
35,95,16200,17200,16000
36,97,15700,16800,15600
37,99,15300,16200,15300
38,100,14600,16000,14700
39,102,14200,15500,14200
40,104,13600,14900,13700
41,106,13000,14500,13400
42,108,12600,14100,13000
43,109,12100,13900,12500
44,111,11800,13500,12000
45,113,11600,13100,11800
46,115,10500,12700,11300
47,117,10150,12300,11100
48,118,9800,12100,10700
49,120,9650,11800,10400
50,122,9500,11500,10000
51,124,9200,11200,9500
52,126,8900,10800,9300
53,127,8700,10500,9100
54,129,8400,10100,8800
55,131,8100,9900,8600
56,133,7800,9600,8300
57,135,7700,9200,7900
58,136,7400,9000,7700
59,138,7300,8700,7400
60,140,6900,8400,7200
61,142,6700,8200,6900
62,144,6500,8000,6700
63,145,6400,7700,6500
64,147,6100,7500,6200
65,149,6000,7200,6100
66,151,5700,7100,5900
67,153,5600,6800,5700
68,154,5500,6600,5400
69,156,5300,6400,5300
70,158,5100,6200,5200
71,160,4900,6200,5000
72,162,4800,5900,4800
73,163,4600,5700,4600
74,165,4400,5500,4400
75,167,4300,5300,4300
76,169,4200,5100,4200
77,171,4200,5000,4100
78,172,4200,4900,4000
79,174,3800,4700,3900
80,176,3700,4600,3700
81,178,3600,4500,3600
82,180,3600,4300,3500
83,181,3500,4200,3400
84,183,3400,4100,3300
85,185,3300,4000,3200
86,187,3200,3900,3100
87,189,3100,3800,3000
88,190,3000,3700,2900
89,192,2900,3500,2800
90,194,2800,3400,2700
91,196,2800,3300,2600
92,198,2700,3200,2500
93,199,2600,3100,2400
94,201,2500,3000,2200
95,203,2400,2800,2100
96,205,2100,2400,2000
97,207,,,
98,208,,,
99,210,,,
100,212,,,
